model,learned,rounds,num_states,num_inputs,learn_inputs,learn_resets,test_inputs,test_resets,algorithm,seed
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,500,148,128,9,LSharp_Nothing_SepSeq,-606162437
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,485,147,59,3,LSharp_Nothing_SepSeq,1217993539
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,489,147,109,12,LSharp_Nothing_SepSeq,-1577947686
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,498,148,123,13,LSharp_Nothing_SepSeq,-1828333357
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,477,145,132,11,LSharp_Nothing_SepSeq,1550496291
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,474,145,123,15,LSharp_Nothing_SepSeq,-1799173654
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,501,147,224,20,LSharp_Nothing_SepSeq,1933225880
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,487,148,176,17,LSharp_Nothing_SepSeq,-631453050
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,496,146,35,2,LSharp_Nothing_SepSeq,496736298
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,521,149,166,16,LSharp_Nothing_SepSeq,-1405572346
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,512,148,83,4,LSharp_Nothing_SepSeq,-945476680
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,498,146,147,11,LSharp_Nothing_SepSeq,1566709965
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,502,148,167,19,LSharp_Nothing_SepSeq,-1091150500
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,407,131,261,31,LSharp_Nothing_SepSeq,-843601530
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,489,147,117,7,LSharp_Nothing_SepSeq,-1962606208
4_learnresult_SecureCode_Aut_fix.dot,true,3,4,14,480,147,287,30,LSharp_Nothing_SepSeq,-1856301917
1_learnresult_MasterCard_fix.dot,true,4,5,15,623,185,108,17,LSharp_Nothing_SepSeq,-929775416
1_learnresult_MasterCard_fix.dot,true,4,5,15,662,199,162,17,LSharp_Nothing_SepSeq,144443855
1_learnresult_MasterCard_fix.dot,true,4,5,15,644,188,68,3,LSharp_Nothing_SepSeq,-2031439546
1_learnresult_MasterCard_fix.dot,true,4,5,15,807,218,186,16,LSharp_Nothing_SepSeq,481464566
1_learnresult_MasterCard_fix.dot,true,4,5,15,626,184,447,40,LSharp_Nothing_SepSeq,-1871251194
1_learnresult_MasterCard_fix.dot,true,4,5,15,778,220,114,7,LSharp_Nothing_SepSeq,60664919
1_learnresult_MasterCard_fix.dot,true,4,5,15,808,217,365,23,LSharp_Nothing_SepSeq,-1584766636
1_learnresult_MasterCard_fix.dot,true,4,5,15,835,214,281,23,LSharp_Nothing_SepSeq,-822456981
1_learnresult_MasterCard_fix.dot,true,4,5,15,738,216,417,29,LSharp_Nothing_SepSeq,906673521
1_learnresult_MasterCard_fix.dot,true,4,5,15,800,216,372,50,LSharp_Nothing_SepSeq,-73981467
1_learnresult_MasterCard_fix.dot,true,4,5,15,714,211,152,13,LSharp_Nothing_SepSeq,1380956157
1_learnresult_MasterCard_fix.dot,true,4,5,15,795,219,87,6,LSharp_Nothing_SepSeq,802185197
1_learnresult_MasterCard_fix.dot,true,4,5,15,670,202,59,8,LSharp_Nothing_SepSeq,1819639148
1_learnresult_MasterCard_fix.dot,true,4,5,15,770,219,114,7,LSharp_Nothing_SepSeq,269302557
1_learnresult_MasterCard_fix.dot,true,4,5,15,756,210,126,19,LSharp_Nothing_SepSeq,545238478
1_learnresult_MasterCard_fix.dot,true,4,5,15,758,209,227,25,LSharp_Nothing_SepSeq,-691270051
1_learnresult_MasterCard_fix.dot,true,4,5,15,746,216,315,24,LSharp_Nothing_SepSeq,-1674891334
1_learnresult_MasterCard_fix.dot,true,4,5,15,623,184,285,24,LSharp_Nothing_SepSeq,1790129850
1_learnresult_MasterCard_fix.dot,true,4,5,15,812,218,57,7,LSharp_Nothing_SepSeq,1389198875
1_learnresult_MasterCard_fix.dot,true,4,5,15,696,203,376,27,LSharp_Nothing_SepSeq,-391632619
1_learnresult_MasterCard_fix.dot,true,4,5,15,723,210,48,4,LSharp_Nothing_SepSeq,-1305782904
1_learnresult_MasterCard_fix.dot,true,4,5,15,735,212,121,12,LSharp_Nothing_SepSeq,1766521483
1_learnresult_MasterCard_fix.dot,true,4,5,15,756,210,55,9,LSharp_Nothing_SepSeq,1279410495
1_learnresult_MasterCard_fix.dot,true,4,5,15,778,221,51,3,LSharp_Nothing_SepSeq,1784634796
1_learnresult_MasterCard_fix.dot,true,4,5,15,773,214,178,13,LSharp_Nothing_SepSeq,407168714
1_learnresult_MasterCard_fix.dot,true,4,5,15,745,216,89,7,LSharp_Nothing_SepSeq,575042117
1_learnresult_MasterCard_fix.dot,true,4,5,15,738,215,222,19,LSharp_Nothing_SepSeq,-994139517
1_learnresult_MasterCard_fix.dot,true,4,5,15,793,217,44,4,LSharp_Nothing_SepSeq,1361058379
1_learnresult_MasterCard_fix.dot,true,4,5,15,741,216,265,25,LSharp_Nothing_SepSeq,-440810881
1_learnresult_MasterCard_fix.dot,true,4,5,15,806,218,42,4,LSharp_Nothing_SepSeq,245853569
1_learnresult_MasterCard_fix.dot,true,4,5,15,770,220,87,9,LSharp_Nothing_SepSeq,-951071120
1_learnresult_MasterCard_fix.dot,true,4,5,15,746,217,35,6,LSharp_Nothing_SepSeq,-1879059591
1_learnresult_MasterCard_fix.dot,true,4,5,15,768,217,57,3,LSharp_Nothing_SepSeq,1135327458
1_learnresult_MasterCard_fix.dot,true,4,5,15,741,212,98,12,LSharp_Nothing_SepSeq,124524313
1_learnresult_MasterCard_fix.dot,true,4,5,15,757,216,444,31,LSharp_Nothing_SepSeq,1211359301
1_learnresult_MasterCard_fix.dot,true,4,5,15,809,218,102,11,LSharp_Nothing_SepSeq,1429221230
1_learnresult_MasterCard_fix.dot,true,4,5,15,775,213,108,15,LSharp_Nothing_SepSeq,-1796468916
1_learnresult_MasterCard_fix.dot,true,4,5,15,736,212,187,15,LSharp_Nothing_SepSeq,1313021426
1_learnresult_MasterCard_fix.dot,true,4,5,15,743,215,70,6,LSharp_Nothing_SepSeq,-1218292136
1_learnresult_MasterCard_fix.dot,true,4,5,15,708,208,85,15,LSharp_Nothing_SepSeq,-734285267
1_learnresult_MasterCard_fix.dot,true,4,5,15,739,214,106,15,LSharp_Nothing_SepSeq,802829949
1_learnresult_MasterCard_fix.dot,true,4,5,15,752,216,431,37,LSharp_Nothing_SepSeq,-998028453
1_learnresult_MasterCard_fix.dot,true,4,5,15,745,215,445,28,LSharp_Nothing_SepSeq,-844822117
1_learnresult_MasterCard_fix.dot,true,4,5,15,809,217,101,3,LSharp_Nothing_SepSeq,1847950631
1_learnresult_MasterCard_fix.dot,true,4,5,15,591,183,303,20,LSharp_Nothing_SepSeq,-291385194
1_learnresult_MasterCard_fix.dot,true,4,5,15,805,220,49,4,LSharp_Nothing_SepSeq,-1890417579
1_learnresult_MasterCard_fix.dot,true,4,5,15,755,213,46,3,LSharp_Nothing_SepSeq,2075221484
1_learnresult_MasterCard_fix.dot,true,4,5,15,771,212,64,5,LSharp_Nothing_SepSeq,-566002030
1_learnresult_MasterCard_fix.dot,true,4,5,15,795,217,112,16,LSharp_Nothing_SepSeq,-217457950
1_learnresult_MasterCard_fix.dot,true,4,5,15,807,210,403,27,LSharp_Nothing_SepSeq,-1933492168
1_learnresult_MasterCard_fix.dot,true,4,5,15,731,213,219,26,LSharp_Nothing_SepSeq,-38230643
1_learnresult_MasterCard_fix.dot,true,4,5,15,599,183,162,17,LSharp_Nothing_SepSeq,-1613516773
1_learnresult_MasterCard_fix.dot,true,4,5,15,611,184,130,10,LSharp_Nothing_SepSeq,-914738082
1_learnresult_MasterCard_fix.dot,true,4,5,15,589,183,26,3,LSharp_Nothing_SepSeq,526680119
1_learnresult_MasterCard_fix.dot,true,4,5,15,729,212,113,19,LSharp_Nothing_SepSeq,-600252383
1_learnresult_MasterCard_fix.dot,true,4,5,15,766,211,260,18,LSharp_Nothing_SepSeq,-627254318
1_learnresult_MasterCard_fix.dot,true,4,5,15,733,211,77,7,LSharp_Nothing_SepSeq,821410971
1_learnresult_MasterCard_fix.dot,true,4,5,15,764,209,346,26,LSharp_Nothing_SepSeq,-2062280895
1_learnresult_MasterCard_fix.dot,true,4,5,15,735,215,93,12,LSharp_Nothing_SepSeq,-14381292
1_learnresult_MasterCard_fix.dot,true,4,5,15,650,185,331,30,LSharp_Nothing_SepSeq,-1077576940
1_learnresult_MasterCard_fix.dot,true,4,5,15,587,183,478,38,LSharp_Nothing_SepSeq,-992171625
1_learnresult_MasterCard_fix.dot,true,4,5,15,755,217,55,11,LSharp_Nothing_SepSeq,-627708520
1_learnresult_MasterCard_fix.dot,true,4,5,15,738,216,218,24,LSharp_Nothing_SepSeq,1225685255
1_learnresult_MasterCard_fix.dot,true,4,5,15,781,217,129,14,LSharp_Nothing_SepSeq,-1643444856
1_learnresult_MasterCard_fix.dot,true,4,5,15,786,214,202,13,LSharp_Nothing_SepSeq,-2018222305
1_learnresult_MasterCard_fix.dot,true,4,5,15,574,182,271,28,LSharp_Nothing_SepSeq,-1171118530
1_learnresult_MasterCard_fix.dot,true,4,5,15,768,211,286,28,LSharp_Nothing_SepSeq,-1893824929
1_learnresult_MasterCard_fix.dot,true,4,5,15,793,219,66,7,LSharp_Nothing_SepSeq,-1091842948
1_learnresult_MasterCard_fix.dot,true,4,5,15,777,217,244,16,LSharp_Nothing_SepSeq,-613181092
1_learnresult_MasterCard_fix.dot,true,4,5,15,624,184,624,46,LSharp_Nothing_SepSeq,1970272286
1_learnresult_MasterCard_fix.dot,true,4,5,15,738,214,185,18,LSharp_Nothing_SepSeq,-1528322865
1_learnresult_MasterCard_fix.dot,true,4,5,15,772,211,94,10,LSharp_Nothing_SepSeq,1247869259
1_learnresult_MasterCard_fix.dot,true,4,5,15,734,214,72,10,LSharp_Nothing_SepSeq,1265709227
1_learnresult_MasterCard_fix.dot,true,4,5,15,749,217,62,8,LSharp_Nothing_SepSeq,-903899598
1_learnresult_MasterCard_fix.dot,true,4,5,15,873,220,104,3,LSharp_Nothing_SepSeq,23473285
1_learnresult_MasterCard_fix.dot,true,4,5,15,731,211,120,8,LSharp_Nothing_SepSeq,-911128481
1_learnresult_MasterCard_fix.dot,true,4,5,15,610,182,229,28,LSharp_Nothing_SepSeq,-63112094
1_learnresult_MasterCard_fix.dot,true,4,5,15,751,216,139,21,LSharp_Nothing_SepSeq,1306577582
1_learnresult_MasterCard_fix.dot,true,4,5,15,695,200,245,22,LSharp_Nothing_SepSeq,1792734090
1_learnresult_MasterCard_fix.dot,true,4,5,15,634,184,192,18,LSharp_Nothing_SepSeq,-991098443
1_learnresult_MasterCard_fix.dot,true,4,5,15,760,218,158,18,LSharp_Nothing_SepSeq,-181010951
1_learnresult_MasterCard_fix.dot,true,4,5,15,760,216,142,18,LSharp_Nothing_SepSeq,-825004976
1_learnresult_MasterCard_fix.dot,true,4,5,15,816,218,278,15,LSharp_Nothing_SepSeq,-1675171539
1_learnresult_MasterCard_fix.dot,true,4,5,15,758,217,36,6,LSharp_Nothing_SepSeq,822257594
1_learnresult_MasterCard_fix.dot,true,4,5,15,726,210,143,16,LSharp_Nothing_SepSeq,-484627424
1_learnresult_MasterCard_fix.dot,true,4,5,15,764,210,259,19,LSharp_Nothing_SepSeq,-433787144
1_learnresult_MasterCard_fix.dot,true,4,5,15,760,217,116,11,LSharp_Nothing_SepSeq,166180062
1_learnresult_MasterCard_fix.dot,true,4,5,15,728,211,162,20,LSharp_Nothing_SepSeq,155078026
1_learnresult_MasterCard_fix.dot,true,4,5,15,791,217,432,36,LSharp_Nothing_SepSeq,1780338347
1_learnresult_MasterCard_fix.dot,true,4,5,15,697,201,200,20,LSharp_Nothing_SepSeq,-1814802625
1_learnresult_MasterCard_fix.dot,true,4,5,15,609,184,216,12,LSharp_Nothing_SepSeq,-1720240810
1_learnresult_MasterCard_fix.dot,true,4,5,15,822,221,542,47,LSharp_Nothing_SepSeq,1980311046
1_learnresult_MasterCard_fix.dot,true,4,5,15,778,216,135,21,LSharp_Nothing_SepSeq,-343027732
1_learnresult_MasterCard_fix.dot,true,4,5,15,793,217,301,38,LSharp_Nothing_SepSeq,1768353468
1_learnresult_MasterCard_fix.dot,true,4,5,15,766,217,122,8,LSharp_Nothing_SepSeq,1154774033
1_learnresult_MasterCard_fix.dot,true,4,5,15,624,185,109,11,LSharp_Nothing_SepSeq,379494226
1_learnresult_MasterCard_fix.dot,true,4,5,15,689,201,39,3,LSharp_Nothing_SepSeq,472004626
1_learnresult_MasterCard_fix.dot,true,4,5,15,759,209,28,3,LSharp_Nothing_SepSeq,1586487351
1_learnresult_MasterCard_fix.dot,true,4,5,15,591,184,163,21,LSharp_Nothing_SepSeq,1082838210
1_learnresult_MasterCard_fix.dot,true,4,5,15,758,215,126,8,LSharp_Nothing_SepSeq,-1123535699
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,300,83,2692,211,LSharp_Nothing_SepSeq,2075229315
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,273,80,2655,202,LSharp_Nothing_SepSeq,150353223
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,273,80,261,26,LSharp_Nothing_SepSeq,449900087
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,276,82,1288,108,LSharp_Nothing_SepSeq,-990782796
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,276,81,2258,142,LSharp_Nothing_SepSeq,-1935722726
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,352,96,1516,109,LSharp_Nothing_SepSeq,-1552823106
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,314,88,959,78,LSharp_Nothing_SepSeq,586579864
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,287,83,1908,146,LSharp_Nothing_SepSeq,-568703485
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,289,84,4487,326,LSharp_Nothing_SepSeq,-392441975
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,281,82,2788,238,LSharp_Nothing_SepSeq,-1075798420
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,281,82,2904,246,LSharp_Nothing_SepSeq,1523601693
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,289,84,710,54,LSharp_Nothing_SepSeq,-2122755288
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,331,92,1769,148,LSharp_Nothing_SepSeq,597441518
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,272,79,753,74,LSharp_Nothing_SepSeq,-674502888
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,292,85,2340,206,LSharp_Nothing_SepSeq,630077161
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,298,82,1885,163,LSharp_Nothing_SepSeq,-1098392194
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,326,89,1105,96,LSharp_Nothing_SepSeq,-1989810016
OpenSSL_1.0.1j_client_regular.dot,true,4,6,7,349,92,767,60,LSharp_Nothing_SepSeq,-792248702
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,276,81,1461,124,LSharp_Nothing_SepSeq,1940657131
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,334,91,382,32,LSharp_Nothing_SepSeq,377258757
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,287,84,3047,267,LSharp_Nothing_SepSeq,-2101334458
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,286,83,1794,139,LSharp_Nothing_SepSeq,-108430619
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,275,81,575,53,LSharp_Nothing_SepSeq,1097074432
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,279,82,2639,201,LSharp_Nothing_SepSeq,2101993050
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,262,78,3058,224,LSharp_Nothing_SepSeq,331988009
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,283,82,1833,159,LSharp_Nothing_SepSeq,-780218595
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,302,83,4649,356,LSharp_Nothing_SepSeq,1459505140
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,277,81,2060,148,LSharp_Nothing_SepSeq,107708709
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,330,90,319,29,LSharp_Nothing_SepSeq,2115096763
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,285,83,716,59,LSharp_Nothing_SepSeq,475759793
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,346,94,1426,124,LSharp_Nothing_SepSeq,-484762397
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,267,79,1137,84,LSharp_Nothing_SepSeq,1176015909
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,293,85,1694,120,LSharp_Nothing_SepSeq,992814925
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,275,81,453,53,LSharp_Nothing_SepSeq,-939953722
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,271,80,1271,97,LSharp_Nothing_SepSeq,-1652583806
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,292,85,5105,359,LSharp_Nothing_SepSeq,-1510259129
OpenSSL_1.0.1j_client_regular.dot,true,5,6,7,287,83,1346,103,LSharp_Nothing_SepSeq,576027951
OpenSSL_1.0.1j_client_regular.dot,true,6,6,7,294,84,496,43,LSharp_Nothing_SepSeq,-1453563434
